slug,name,url,wineries,fetched_at
alberto-antonini,Alberto Antonini,https://argentinareloaded.com/talents/alberto-antonini/,,2026-05-08T16:55:13.944357+00:00
alejandro-sejanovich-jeff-mausbach,Alejandro Sejanovich Jeff Mausbach,https://argentinareloaded.com/talents/alejandro-sejanovich-jeff-mausbach/,,2026-05-08T16:55:13.944373+00:00
alejandro-vigil,Alejandro Vigil,https://argentinareloaded.com/talents/alejandro-vigil/,,2026-05-08T16:55:13.944378+00:00
marchiori-barraud,ANDREA MARCHIORI & LUIS BARRAUD,https://argentinareloaded.com/talents/marchiori-barraud/,,2026-05-08T16:55:13.944381+00:00
andres-vignoni,Andres Vignoni,https://argentinareloaded.com/talents/andres-vignoni/,,2026-05-08T16:55:13.944385+00:00
celina-bartolome,Celina Bartolome,https://argentinareloaded.com/talents/celina-bartolome/,,2026-05-08T16:55:13.944388+00:00
daniel-pi,Daniel Pi,https://argentinareloaded.com/talents/daniel-pi/,,2026-05-08T16:55:13.944390+00:00
delfina-pontaroli,Delfina Pontaroli,https://argentinareloaded.com/talents/delfina-pontaroli/,,2026-05-08T16:55:13.944395+00:00
eduardo-soler,Eduardo Soler,https://argentinareloaded.com/talents/eduardo-soler/,,2026-05-08T16:55:13.944398+00:00
bonomi-delpopolo,EDY DEL POPOLO & DAVID BONOMI,https://argentinareloaded.com/talents/bonomi-delpopolo/,,2026-05-08T16:55:13.944401+00:00
emiliano-turano-ochoa,Emiliano Turano Ochoa,https://argentinareloaded.com/talents/emiliano-turano-ochoa/,,2026-05-08T16:55:13.944404+00:00
eugenia-luka,Eugenia Luka,https://argentinareloaded.com/talents/eugenia-luka/,,2026-05-08T16:55:13.944406+00:00
gabriel-dvoskin,Gabriel Dvoskin,https://argentinareloaded.com/talents/gabriel-dvoskin/,,2026-05-08T16:55:13.944409+00:00
german-masera,German Masera,https://argentinareloaded.com/talents/german-masera/,,2026-05-08T16:55:13.944412+00:00
giuseppe-francheschini,Giuseppe Francheschini,https://argentinareloaded.com/talents/giuseppe-francheschini/,,2026-05-08T16:55:13.944414+00:00
hector-pablo-durigutti,HECTOR & PABLO DURIGUTTI,https://argentinareloaded.com/talents/hector-pablo-durigutti/,,2026-05-08T16:55:13.944417+00:00
joanna-foster,Joanna Foster,https://argentinareloaded.com/talents/joanna-foster/,,2026-05-08T16:55:13.944420+00:00
juampi-michelini,JUAN PABLO MICHELINI,https://argentinareloaded.com/talents/juampi-michelini/,,2026-05-08T16:55:13.944423+00:00
juan-pablo-murgia,Juan Pablo Murgia,https://argentinareloaded.com/talents/juan-pablo-murgia/,,2026-05-08T16:55:13.944426+00:00
juanfa-suarez,Juanfa Suarez,https://argentinareloaded.com/talents/juanfa-suarez/,,2026-05-08T16:55:13.944429+00:00
lucia-romero,Lucia Romero,https://argentinareloaded.com/talents/lucia-romero/,,2026-05-08T16:55:13.944431+00:00
miretti-gonzalez,MARIANO MIRETTI & ALE GONZALEZ,https://argentinareloaded.com/talents/miretti-gonzalez/,,2026-05-08T16:55:13.944434+00:00
matias-prieto,Matias Prieto,https://argentinareloaded.com/talents/matias-prieto/,,2026-05-08T16:55:13.944436+00:00
matias-riccitelli,Matias Riccitelli,https://argentinareloaded.com/talents/matias-riccitelli/,,2026-05-08T16:55:13.944439+00:00
matias_michelini,Matias_Michelini,https://argentinareloaded.com/talents/matias_michelini/,,2026-05-08T16:55:13.944441+00:00
michelini-i-mufatto,Michelini I Mufatto,https://argentinareloaded.com/talents/michelini-i-mufatto/,,2026-05-08T16:55:13.944444+00:00
pancho-bugallo,Pancho Bugallo,https://argentinareloaded.com/talents/pancho-bugallo/,,2026-05-08T16:55:13.944446+00:00
ferrari-yague,PATRICIA FERRARI & MARCELO YAGÜE,https://argentinareloaded.com/talents/ferrari-yague/,,2026-05-08T16:55:13.944449+00:00
quentin-pommier-thibault-lepoutre,QUENTIN POMMIER & THIBAULT LEPOUTRE,https://argentinareloaded.com/talents/quentin-pommier-thibault-lepoutre/,,2026-05-08T16:55:13.944453+00:00
raul-davalos,RAUL YEYE DAVALOS,https://argentinareloaded.com/talents/raul-davalos/,,2026-05-08T16:55:13.944456+00:00
robertodelamota,ROBERTO DE LA MOTA,https://argentinareloaded.com/talents/robertodelamota/,,2026-05-08T16:55:13.944459+00:00
rodrigo-serrano-alou,Rodrigo Serrano Alou,https://argentinareloaded.com/talents/rodrigo-serrano-alou/,,2026-05-08T16:55:13.944461+00:00
santiago-achaval,Santiago Achaval,https://argentinareloaded.com/talents/santiago-achaval/,,2026-05-08T16:55:13.944464+00:00
santiago-mayorga,Santiago Mayorga,https://argentinareloaded.com/talents/santiago-mayorga/,,2026-05-08T16:55:13.944466+00:00
sebastian_zuccardi,Sebastian_Zuccardi,https://argentinareloaded.com/talents/sebastian_zuccardi/,,2026-05-08T16:55:13.944469+00:00
sofia-lucila-pescarmona,SOFIA & LUCILA PESCARMONA,https://argentinareloaded.com/talents/sofia-lucila-pescarmona/,,2026-05-08T16:55:13.944471+00:00
sofia-elena,Sofia Elena,https://argentinareloaded.com/talents/sofia-elena/,,2026-05-08T16:55:13.944474+00:00
susana-balbo,Susana Balbo,https://argentinareloaded.com/talents/susana-balbo/,,2026-05-08T16:55:13.944476+00:00
thibaut-delmotte,Thibaut Delmotte,https://argentinareloaded.com/talents/thibaut-delmotte/,,2026-05-08T16:55:13.944479+00:00
